NR.;CODICE UNIONE;REGIONE;PROVINCIA;DESCRIZIONE UNIONE DI COMUNI;DATA COSTITUZIONE;NR. COMUNI;COMUNI APPARTENENTI ALL'UNIONE;POP. UOMINI;POP. DONNE;POP. TOTALE
0;2080296010;EMILIA-ROMAGNA;FERRARA;TERRE E FIUMI;1-Gen-2010;2;;9.524;10.496;20.020
1;;;;;;;COPPARO;8.065;8.952;17.017
2;;;;;;;JOLANDA DI SAVOIA;1.459;1.544;3.003
0;2080296020;EMILIA-ROMAGNA;FERRARA;UNIONE DEI COMUNI VALLI E DELIZIE;3-Apr-2013;3;;19.571;21.200;40.771
1;;;;;;;ARGENTA;10.617;11.516;22.133
2;;;;;;;OSTELLATO;3.134;3.319;6.453
3;;;;;;;PORTOMAGGIORE;5.820;6.365;12.185
0;2080326020;EMILIA-ROMAGNA;FORLI'-CESENA;UNIONE DEI COMUNI DEL RUBICONE;1-Gen-2006;9;;43.875;45.497;89.372
1;;;;;;;BORGHI;1.356;1.362;2.718
2;;;;;;;CESENATICO;12.307;13.105;25.412
3;;;;;;;GAMBETTOLA;4.986;5.252;10.238
4;;;;;;;GATTEO;4.396;4.514;8.910
5;;;;;;;LONGIANO;3.370;3.467;6.837
6;;;;;;;RONCOFREDDO;1.717;1.678;3.395
7;;;;;;;SAN MAURO PASCOLI;5.462;5.628;11.090
8;;;;;;;SAVIGNANO SUL RUBICONE;8.671;8.850;17.521
9;;;;;;;SOGLIANO AL RUBICONE;1.610;1.641;3.251
0;2080326040;EMILIA-ROMAGNA;FORLI'-CESENA;UNIONE DI COMUNI DELLA ROMAGNA FORLIVESE;18-Gen-2014;15;;89.601;95.363;184.964
1;;;;;;;BERTINORO;5.337;5.461;10.798
2;;;;;;;CASTROCARO TERME E TERRA DEL SOLE;3.201;3.311;6.512
3;;;;;;;CIVITELLA DI ROMAGNA;1.866;1.926;3.792
4;;;;;;;DOVADOLA;803;858;1.661
5;;;;;;;FORLI';55.898;60.536;116.434
6;;;;;;;FORLIMPOPOLI;6.364;6.618;12.982
7;;;;;;;GALEATA;1.250;1.266;2.516
